video_id,Label,Description,Excerpt,Issue,Importance
0npi0hevtKg,Secure the Border,Trump promises to secure the U.S. border by completing the wall and implementing strict immigration policies.,I'm going to be a dictator for one day and we're going to build the wall we're going to complete the wall cuz we built it but we're going to clean up that hole we're going to stop and we're going to finish.,Illegal immigration and border security,9
0npi0hevtKg,Energy Independence,Trump pledges to make the U.S. energy independent by drilling and utilizing domestic resources.,we're going to become energy independent we're going to drill baby drill and then I said and then I'm not going to be a dictator any longer.,Energy independence and economic stability,8
0npi0hevtKg,Military Strength,Trump promises to strengthen the U.S. military and ensure it is not 'woke'.,our military has gone woke and we are teetering on the brink of World War I this is the closest we've ever come to World War II.,Military readiness and national security,7
0npi0hevtKg,Economic Revival,Trump aims to revive the U.S. economy by reducing inflation and supporting the middle class.,our middle class is being crushed by Joe Biden's crippling inflation the worst maybe the worst we've ever had they say in 52 years.,Economic stability and inflation,8
0npi0hevtKg,Law and Order,Trump promises to restore law and order by supporting law enforcement and indemnifying police against liability.,we're going to give the police back their Authority we're going to make it safe so people can actually walk down the street without getting shot.,Crime and public safety,7
0npi0hevtKg,Election Integrity,Trump pledges to ensure fair elections by implementing voter ID and paper ballots.,we want one day voting we want paper ballots and we want voter ID and Republican governor should do it right now.,Election integrity and voter fraud,8
0npi0hevtKg,Foreign Policy,"Trump promises to handle foreign relations with strength, ensuring respect and fear from other nations.",when he was president China feared him Russia feared him every country feared him I don't want to say let's say respect but they fear feared our country.,Foreign relations and national security,7
0npi0hevtKg,Economic Support for Farmers,"Trump promises to support American farmers financially, as he did previously with $28 billion.",I got them $28 billion for their farmers of course they got to vote we're going to win Iowa so big I got them $28 billion of course I'm going to win.,Agricultural support and rural economy,6
0npi0hevtKg,Rebuild American Cities,"Trump pledges to rebuild and clean up American cities, making them safe and beautiful again.",we're going to go into our major cities New York Chicago Los Angeles and we're going to rebuild our cities and we're going to make them safe.,Urban development and public safety,7
0npi0hevtKg,Release January 6th Prisoners,"Trump promises to release those imprisoned for the January 6th events, referring to them as 'hostages'.",they ought to release the j6 hostages they've suffered enough they had to release them I call them hostages some people call them prisoners I call them hostages.,Justice and political prisoners,5
DxTdbVGUz14,Secure the Border,Trump promises to secure the U.S. border and stop illegal immigration by implementing strict border policies.,A vote for Donald Trump and these caucuses is a vote to secure our border it's a vote to stop The Invasion the biggest invasion of our country ever.,Illegal immigration and border security,9
DxTdbVGUz14,End Inflation,Trump pledges to end the inflation crisis and stabilize the economy.,I'll end Biden's inflation nightmare save our nation from debt we had no in we had no inflation think of it but we will drill baby drill we'll be making so much money.,Inflation and economic instability,8
DxTdbVGUz14,Energy Independence,Trump promises to achieve energy independence by utilizing domestic oil resources.,We have more oil than they do we were going to make so much money we didn't have to go after Social Security and we didn't have to go after Medicare.,Energy independence and economic growth,7
DxTdbVGUz14,Military Strength,Trump vows to restore military strength and ensure national security.,We will restore peace through strength it can be done through strength you don't have to necessarily send people to die.,National security and military strength,8
DxTdbVGUz14,Protect Social Security and Medicare,Trump promises to protect Social Security and Medicare from cuts.,Unlike DeSantis and Nikki Haley we will always protect Social Security and your Medicare we're always going to take it.,Social Security and Medicare protection,7
DxTdbVGUz14,End Endless Wars,Trump pledges to end the endless wars and focus on domestic issues.,Ronda sanctimonious Nikki Haley will never end the endless Wars they want the endless Wars in a certain way they don't even know it.,Foreign policy and military engagement,6
DxTdbVGUz14,Election Integrity,Trump promises to restore election integrity and ensure fair voting processes.,We will restore and secure our elections our goal will be one day voting with paper ballots all paper ballots and voter.,Election integrity and voter security,9
DxTdbVGUz14,Support Law Enforcement,Trump pledges to support law enforcement and restore law and order in cities.,We have to bring back Law and Order in our country and we're going to rebuild our cities into beacons of Hope safety and Beauty.,Law enforcement and public safety,8
DxTdbVGUz14,Protect Free Speech,Trump promises to restore free speech and protect it from being suppressed.,We will restore Free Speech we will restore free speech and we will restore and secure our elections.,Free speech and censorship,7
DxTdbVGUz14,Economic Growth,Trump pledges to boost economic growth and create jobs through various policies.,We will fight for America like no one has ever fought before 4 2024 is our final battle it's our final battle we're going to win that battle we're going to turn this nation around.,Economic growth and job creation,8
Cp76BvgKfZg,Secure the Border,Trump promises to secure the U.S. border by terminating Biden's open border policies and initiating the largest domestic deportation operation in American history.,On my first day back in the white house I will terminate every open borders policy of the Biden Administration stop the invasion of our Southern border and begin the largest domestic deportation operation in American history.,Illegal immigration and border security,9
Cp76BvgKfZg,Economic Revival,"Trump pledges to revive the U.S. economy by drilling for oil and gas, reducing inflation, and saving the nation from debt.",I will end Biden's inflation nightmare save our nation from debt and economic Despair and we will immediately drill baby drill drill baby drill immediately.,Economic instability and energy independence,8
Cp76BvgKfZg,Election Integrity,"Trump aims to secure elections by advocating for one-day voting, paper ballots, and voter ID.",Our goal will be one day voting with paper ballots and voter ID right but until then Republicans must win and I will say that Republican Governors should switch to paper right now.,Election security and integrity,10
Cp76BvgKfZg,Military and Defense,"Trump promises to rebuild the military, prevent World War III, and restore peace through strength.",We will turn the page Forever on the days of foolish never ending Wars that squander American blood and treasure and distant foreign lands and we will restore peace through strength.,National security and military strength,7
Cp76BvgKfZg,Healthcare Reform,Trump pledges to provide better healthcare than Obamacare at a much lower price.,We're also going to fight to give you much better Healthcare than Obamacare which is a a disaster you know that because it's so expensive it's out of control.,Healthcare affordability and accessibility,6
Cp76BvgKfZg,Education Reform,Trump promises to cut federal funding for schools pushing critical race theory and other inappropriate content.,On day one I will sign a new executive order to cut Federal funding for any school pushing critical race Theory transgender insanity and other inappropriate racial sexual or political content onto our children.,Education and curriculum standards,5
Cp76BvgKfZg,Law and Order,Trump aims to indemnify police officers and restore safety in cities by taking strong action on crime.,I'm also going to indemnify all police officers and law enforcement officials throughout the United States to protect them from being destroyed by radical left lunatics for taking taking strong action on crime.,Crime and law enforcement,8
Cp76BvgKfZg,Foreign Policy and Trade,"Trump promises to settle the Russia-Ukraine war and prevent World War III, emphasizing peace through strength.",I will have the horrible war between Russia and Ukraine settled I know them both very well zalinski and Putin I'll get it settled we will turn it's a it's a terrible War millions of people are ding.,International relations and conflict resolution,7
Cp76BvgKfZg,Energy Policy,Trump pledges to cancel Biden's electric vehicle mandate and promote the use of gas stoves and gasoline-powered vehicles.,I'll also cancel crooked Joe Biden's insane ethanol killing electric vehicle mandate how crazy is that crazy and don't sell your gas stove because you'll be using your gas stove for a long time.,Energy independence and consumer choice,6
Cp76BvgKfZg,Judicial Appointments,"Trump promises to appoint strong, pro-constitution Supreme Court Justices who will interpret the law as written.",Just as I did before I will appoint strong highly qualified Pro constitution Supreme Court Justices who will interpret the law as written.,Judicial integrity and constitutional interpretation,5
dw3ZDAAy_Y0,Take Back the Country,Trump promises to take back the country from what he perceives as current mismanagement and incompetence.,we're going to take our country back we're going to take our country back so sad to see what's happening,Perceived decline in national governance and leadership,9
dw3ZDAAy_Y0,Massive Victory in Iowa,Trump emphasizes the importance of voting in Iowa to send a strong message to his opponents.,By delivering a massive victory in Iowa you'll send a thundering message to Crooked Joe Biden,Political dominance and voter turnout,8
dw3ZDAAy_Y0,Defeat Joe Biden,Trump vows to defeat Joe Biden and make America great again.,we're going to defeat crooked Joe Biden and we're going to make America great again,Opposition to current administration,10
